Month,Day,Total
4,1,14546
4,2,17474
4,3,20701
4,4,26714
4,5,19521
4,6,13445
4,7,19550
4,8,16188
4,9,16843
4,10,20041
4,11,20420
4,12,18170
4,13,12112
4,14,12674
4,15,20641
4,16,17717
4,17,20973
4,18,18074
4,19,14602
4,20,11017
4,21,13162
4,22,16975
4,23,20346
4,24,23352
4,25,25095
4,26,24925
4,27,14677
4,28,15475
4,29,22835
4,30,36251
5,1,23375
5,2,24235
5,3,22234
5,4,13918
5,5,17859
5,6,19300
5,7,21891
5,8,27513
5,9,26385
5,10,22550
5,11,14901
5,12,17470
5,13,19498
5,14,22218
5,15,26301
5,16,32493
5,17,22294
5,18,16508
5,19,18315
5,20,20860
5,21,23508
5,22,26802
5,23,26465
5,24,14651
5,25,10841
5,26,10202
5,27,17004
5,28,22240
5,29,24930
5,30,24413
5,31,21261
6,1,15967
6,2,17503
6,3,22674
6,4,22831
6,5,28371
6,6,24683
6,7,20889
6,8,15749
6,9,23244
6,10,22874
6,11,25716
6,12,29844
6,13,31207
6,14,19327
6,15,14511
6,16,17778
6,17,21807
6,18,24647
6,19,28594
6,20,24271
6,21,19940
6,22,16322
6,23,17735
6,24,20779
6,25,26460
6,26,28516
6,27,24895
6,28,21208
6,29,17107
6,30,18395
7,1,21228
7,2,26480
7,3,21597
7,4,14148
7,5,10890
7,6,11443
7,7,18280
7,8,25763
7,9,27817
7,10,30541
7,11,28752
7,12,25936
7,13,21082
7,14,27350
7,15,33845
7,16,28607
7,17,30710
7,18,29860
7,19,25726
7,20,21212
7,21,23578
7,22,29029
7,23,34073
7,24,32050
7,25,29975
7,26,27708
7,27,22590
7,28,23981
7,29,27589
7,30,30740
7,31,33541
8,1,32353
8,2,28678
8,3,23146
8,4,24952
8,5,28094
8,6,30495
8,7,32759
8,8,30411
8,9,26286
8,10,20584
8,11,22632
8,12,29646
8,13,29788
8,14,30457
8,15,28974
8,16,26234
8,17,21209
8,18,21956
8,19,24834
8,20,27955
8,21,32304
8,22,29512
8,23,27097
8,24,22036
8,25,22093
8,26,24550
8,27,27018
8,28,28597
8,29,27424
8,30,23930
8,31,23271
9,1,19961
9,2,28831
9,3,32631
9,4,38360
9,5,42319
9,6,40520
9,7,30134
9,8,30360
9,9,34560
9,10,35910
9,11,36439
9,12,39540
9,13,43205
9,14,28122
9,15,29454
9,16,36092
9,17,35531
9,18,40274
9,19,41017
9,20,38864
9,21,28620
9,22,28312
9,23,30316
9,24,31301
9,25,38203
9,26,37504
9,27,39468
9,28,29656
9,29,29201
9,30,33431
