Base,dayofweek,Total
B02512,1,20490
B02512,2,25460
B02512,3,31670
B02512,4,32929
B02512,5,35032
B02512,6,33319
B02512,7,26773
B02598,1,146652
B02598,2,163542
B02598,3,202378
B02598,4,216644
B02598,5,235157
B02598,6,229908
B02598,7,198832
B02617,1,164452
B02617,2,176416
B02617,3,214167
B02617,4,222669
B02617,5,240216
B02617,6,234379
B02617,7,206554
B02682,1,126511
B02682,2,143372
B02682,3,176198
B02682,4,189863
B02682,5,205091
B02682,6,201594
B02682,7,170160
B02764,1,32075
B02764,2,32682
B02764,3,39376
B02764,4,34383
B02764,5,39649
B02764,6,41939
B02764,7,43795
