Day,Hour,Total
1,0,3247
1,1,1982
1,2,1284
1,3,1331
1,4,1458
1,5,2171
1,6,3717
1,7,5470
1,8,5376
1,9,4688
1,10,4680
1,11,4811
1,12,5018
1,13,5887
1,14,7050
1,15,8033
1,16,8760
1,17,9661
1,18,8727
1,19,8146
1,20,7448
1,21,7960
1,22,6397
1,23,4128
2,0,2480
2,1,1600
2,2,1109
2,3,1442
2,4,1897
2,5,2861
2,6,5002
2,7,6646
2,8,6420
2,9,4795
2,10,4886
2,11,5067
2,12,5278
2,13,5801
2,14,7021
2,15,8581
2,16,10267
2,17,11301
2,18,11326
2,19,9654
2,20,8903
2,21,8506
2,22,7111
2,23,5247
3,0,3415
3,1,2176
3,2,1434
3,3,1489
3,4,1578
3,5,2437
3,6,4318
3,7,5775
3,8,5482
3,9,4732
3,10,4864
3,11,5162
3,12,5462
3,13,6189
3,14,7327
3,15,8991
3,16,10472
3,17,10665
3,18,11433
3,19,9765
3,20,9158
3,21,8646
3,22,7246
3,23,4767
4,0,2944
4,1,1718
4,2,1217
4,3,1449
4,4,1737
4,5,2623
4,6,4687
4,7,6146
4,8,5799
4,9,4814
4,10,4822
4,11,5067
4,12,5289
4,13,6273
4,14,7307
4,15,8678
4,16,9661
4,17,10550
4,18,10458
4,19,9296
4,20,8508
4,21,8804
4,22,7852
4,23,5224
5,0,2786
5,1,1567
5,2,1047
5,3,1278
5,4,1648
5,5,2958
5,6,4919
5,7,6379
5,8,6580
5,9,5616
5,10,5225
5,11,5097
5,12,5129
5,13,5780
5,14,7072
5,15,8453
5,16,9770
5,17,10887
5,18,10324
5,19,9582
5,20,9512
5,21,9785
5,22,9020
5,23,6640
6,0,4623
6,1,2932
6,2,1902
6,3,1599
6,4,1584
6,5,2201
6,6,3705
6,7,4846
6,8,5009
6,9,4482
6,10,4891
6,11,5264
6,12,5528
6,13,6378
6,14,7353
6,15,8751
6,16,9615
6,17,10130
6,18,9437
6,19,8575
6,20,8286
6,21,8734
6,22,8000
6,23,6061
7,0,3715
7,1,2326
7,2,1533
7,3,1622
7,4,1793
7,5,2464
7,6,4172
7,7,5649
7,8,5459
7,9,4706
7,10,4982
7,11,5266
7,12,5455
7,13,6315
7,14,7418
7,15,8624
7,16,10585
7,17,11185
7,18,10767
7,19,9674
7,20,8862
7,21,8692
7,22,7337
7,23,4902
8,0,2882
8,1,1672
8,2,1147
8,3,1509
8,4,1921
8,5,3282
8,6,5528
8,7,7474
8,8,7472
8,9,5770
8,10,5368
8,11,5433
8,12,5576
8,13,6424
8,14,7356
8,15,8910
8,16,10007
8,17,10871
8,18,9874
8,19,8964
8,20,8768
8,21,8528
8,22,6917
8,23,4331
9,0,2708
9,1,1757
9,2,1246
9,3,1501
9,4,1911
9,5,3227
9,6,5910
9,7,7720
9,8,7641
9,9,5983
9,10,5500
9,11,5542
9,12,5607
9,13,6540
9,14,7997
9,15,9360
9,16,10419
9,17,12116
9,18,11677
9,19,9979
9,20,9061
9,21,8806
9,22,7637
9,23,5290
10,0,3351
10,1,2167
10,2,1495
10,3,1466
10,4,1614
10,5,2652
10,6,4757
10,7,6168
10,8,6271
10,9,5165
10,10,5070
10,11,5513
10,12,5617
10,13,6631
10,14,7739
10,15,9772
10,16,11256
10,17,12112
10,18,11121
10,19,9800
10,20,9876
10,21,9403
10,22,7886
10,23,5598
11,0,3093
11,1,1699
11,2,1126
11,3,1450
11,4,1870
11,5,2569
11,6,5046
11,7,7001
11,8,6990
11,9,5489
11,10,5313
11,11,5515
11,12,5611
11,13,6619
11,14,7642
11,15,9097
11,16,10327
11,17,11098
11,18,10558
11,19,9524
11,20,8982
11,21,8885
11,22,7907
11,23,5449
12,0,3276
12,1,2187
12,2,1419
12,3,1386
12,4,1787
12,5,2773
12,6,4679
12,7,6370
12,8,6360
12,9,5277
12,10,5248
12,11,5417
12,12,5674
12,13,6535
12,14,7868
12,15,9537
12,16,10912
12,17,11919
12,18,12450
12,19,10589
12,20,10154
12,21,10496
12,22,10189
12,23,8104
13,0,5517
13,1,3594
13,2,2312
13,3,1865
13,4,1730
13,5,2380
13,6,4269
13,7,5768
13,8,6180
13,9,5734
13,10,5535
13,11,5844
13,12,6015
13,13,6798
13,14,8354
13,15,9437
